SMILES,ionicSMILES,Modifier,Behaviour Type,Positive?,1500,2000,2500,3000,3250,3500,3750,4000
CC(C)(C)C(O)C(Oc1ccc(cc1)c2ccccc2)n3cncn3,CC(C)(C)C(O)C(Oc1ccc(cc1)c2ccccc2)n3cnc[nH+]3,1,0,0,-0.5,-0.94,-1.62,-2.3,-2.67,-3.13,-3.68,-4.4
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n2cncn2,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n2cnc[nH+]2,0,2,0,0.29,0.8,1.56,2.87,3.76,4.65,6.06,7.48
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n2cncn2,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n2cnc[nH+]2,1,0,0,-0.92,-1.68,-2.8,-3.92,-4.63,-5.54,-6.67,-8.07
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,CC(C)(C)c1ccc(cc1)C(O)CCC[NH+]2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,0,2,0,0.75,1.53,2.77,4.49,5.59,6.84,8.35,9.99
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,CC(C)(C)c1ccc(cc1)C(O)CCC[NH+]2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,1,2,0,1.45,2,2.8,4,4.9,6,7.3,8.7
CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1,CC(C)(C)c1ccc(CCOc2[nH+]cnc3ccccc23)cc1,0,2,0,1,2.24,4.24,7.28,9.25,11.43,13.92,16.68
CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1,CC(C)(C)c1ccc(CCOc2[nH+]cnc3ccccc23)cc1,1,0,0,-0.09,-0.25,-1.15,-2.04,-2.63,-3.14,-3.5,-3.6
CC(C)(C)N1N=CC(=C(Cl)C1=O)SCc2ccc(cc2)C(C)(C)C,CC(C)(C)N1N=CC(=C(Cl)C1=[OH+])SCc2ccc(cc2)C(C)(C)C,0,2,0,0.2,1,2.42,4.36,5.54,7.08,8.62,10.42
CC(C)(C)N1N=CC(=C(Cl)C1=O)SCc2ccc(cc2)C(C)(C)C,CC(C)(C)N1N=CC(=C(Cl)C1=[OH+])SCc2ccc(cc2)C(C)(C)C,1,0,0,-1.4,-2.38,-4.56,-6.75,-7.98,-8.94,-9.91,-10.5
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,CC(C)(C)[NH2+]CC(O)c1cc(Cl)c(N)c(Cl)c1,0,2,0,0.62,1.4,2.66,4.57,5.87,7.32,9.06,11.04
